,1/12/19,1/11/19,1/10/19,1/9/19,1/8/19,1/7/19,1/6/19,1/5/19,1/4/19,1/3/19,1/2/19,1/1/19,1/12/18,1/11/18,1/10/18,1/9/18,1/8/18,1/7/18,1/6/18,1/5/18,1/4/18,1/3/18,1/2/18,1/1/18,1/12/17,1/11/17,1/10/17,1/9/17,1/8/17,1/7/17,1/6/17,1/5/17,1/4/17,1/3/17,1/2/17,1/1/17,1/12/16,1/11/16,1/10/16,1/9/16,1/8/16,1/7/16,1/6/16,1/5/16,1/4/16,1/3/16,1/2/16,1/1/16,1/12/15,1/11/15,1/10/15,1/9/15,1/8/15,1/7/15,1/6/15,1/5/15,1/4/15,1/3/15,1/2/15,1/1/15
1.  Number of foreign tourists visiting Thailand (in thousands) ,3930.8,3358.59,3042.28,2902.73,3466.46,3327.2,3052.29,2726.81,3195.01,3473.09,3603.65,3718.5,3835.51,3171,2704,2636.12,3229.03,3177.09,3013.3,2737.83,3096.07,3494.64,3552.12,3531.48,3571.66,3039.57,2725.94,2600.28,3188.15,3099.41,2731.07,2600.62,2853.29,3018.41,2966.52,3197.05,3060.74,2452.45,2252.77,2416.82,2883.59,2949.1,2422.99,2459.09,2627.8,2927.22,3080.53,2996.44,3024.29,2566.07,2245.84,2044.65,2589.65,2641.51,2269.52,2301.62,2406.72,2555.36,2664.21,2613.69
2.  Accommodation occupancy rate (percent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   North,36.45,38.11,43.72,22.29,20.9,21.55,21.5,27.36,21.84,25.19,42.37,43.18,40.52,40.94,47.14,24.49,21.34,20.34,21.88,27.62,23.54,40.48,39.82,43.13,34.71,36.56,33.08,24.83,21.62,21.61,20.12,26.64,22.67,35.38,39.17,40.6,32.79,30.65,25.1,21.3,20.4,18.4,19.2,29.2,31.5,36.9,39.1,36.9,20.32,13.75,13.56,10.59,6,5.26,6.21,7.87,7.21,11.38,15.88,19.91
   Northeast,11.95,13.34,15.85,24.13,20.03,15.51,14.11,14.4,7.72,7.16,13.81,13.46,14.17,13.46,15.02,22.48,23.98,25.09,25.5,16.98,5.67,7.27,15.56,12.68,13.33,13.5,12.06,13.53,8.41,5.56,5.38,5.1,4.74,4.95,15.44,10.84,11.72,10.59,9.9,10.5,6.1,5.6,5.8,6.2,5.5,4.3,14.7,11,2.8,2.34,4.2,2.36,1.71,1.79,1.57,2.48,1.57,2.52,2.27,3.47
4.  Average room rental rate  (baht : room) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Total,1813.61,1820.58,1667.6,1555.5,1609.42,1692.12,1676.24,1740.05,1727.75,1750.62,1822.98,1912.55,1933.58,1909.25,1813.47,1690.13,1628.93,1731.23,1624.97,1657.74,1670.9,1639.8,1656.04,1747.1,1824.07,1827.54,1786.67,1617.21,1613.57,1648.59,1612.72,1587.82,1491.99,1384.95,1480.55,1567.04,1623.84,1578.74,1586.25,1514.2,1453.7,1509,1519.4,1468.5,1309,1311,1343.8,1432.8,1255.16,1129.09,1289.91,1218.54,1111.55,1114.94,1167.35,1200.35,1258.35,1237.3,1261.91,1216.94
   Central (including Bangkok),1696.89,1716.7,1635.19,1534.52,1607.22,1712.31,1703.26,1747.89,1742.11,1737.86,1702.46,1769.12,1744.43,1741.62,1722.96,1575.42,1574.38,1695.29,1649.93,1671.38,1713.67,1682.83,1656.04,1678.91,1607.04,1641.46,1668.79,1488.45,1436.4,1625.37,1612.02,1638.72,1494.64,1466.85,1588.17,1569.02,1390.86,1356.54,1383.54,1391.3,1401.4,1406.1,1473.1,1575.7,1556.7,1541.8,1524.5,1510.8,1374.31,1275.68,1395.75,1304.66,1323.08,1301.45,1315.62,1324.16,1368.99,1393.72,1337.68,1433.04
   South,2612.27,2603.66,2281.68,2118.73,2174.7,2236.78,2161.35,2183.49,2205.46,2204.94,2339.71,2482.16,2726.33,2689.19,2521.43,2391.66,2270.52,2401.41,2153.29,2098.71,2061.46,2007.77,2193.97,2210.06,2747.87,2720.04,2603.36,2424.32,2396.55,2293.49,2188.5,2143.36,2080.93,1783.29,1882.46,2050.67,2430.87,2444.58,2423.95,2337.8,2303.2,2196.3,2055,1987.3,1988.3,1859,1766.3,1871.2,1951.68,1506.49,1731.89,1743.73,1521.88,1542.02,1474.32,1676.41,1783.24,1820.28,1921.05,1713.78
   North,1294.66,1290.93,1163.15,1044,1078.32,1208.56,1308.09,1528.96,1424.66,1530.73,1659.59,1713,1360.44,1325.05,1264.85,1079.36,1074.03,1147.87,1087.99,1368.39,1429.92,1432.25,1557.06,1655.96,1278.41,1278.14,1243.95,1054.11,1037.44,1043.37,1049.31,973.94,913.01,1101.5,1213.3,1490.36,1197.95,1067.55,1030.98,940.4,811.5,845.7,759.9,823,795.8,925.4,980.5,1197.3,967.27,937.25,1296.38,1069.82,811.18,831.24,1105.23,1064.66,1185.18,1003.36,1075.63,1038
   Northeast,886.99,893.22,842.73,825.33,817.19,834.63,818.31,830.05,831,860.35,893.94,931.79,917.59,901.62,810.31,824.89,822.67,824.59,831.23,820.99,809.95,795.42,828.9,874.88,848.64,849.17,757.31,798.3,837.11,817.26,801.58,790.94,781.38,740.43,761.58,823.23,776.81,778.67,771.4,784.7,769,772.3,716.6,793.3,816.5,765.9,745.3,762.6,727.36,796.94,735.62,755.94,790.04,785.06,774.21,736.15,695.97,731.83,713.28,682.95
5.  Share of revenue from conference/seminar package to total revenue  (percent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Total,30.25,29.66,33.55,29.58,27.42,29.7,30.06,30.6,30,30.28,30.88,32.25,31.32,29.95,35.12,33.51,29.54,28.78,30.53,29.88,31.22,30.43,28.4,29.25,28.88,28.54,27.29,32.17,27.57,28.75,27.7,26.74,29.99,28.33,26.25,26.62,25.28,23.7,23.15,25.5,23.8,23.4,23.1,24.1,22.6,23.4,24.3,23.6,24.4,25.48,21.93,21.36,24.21,24.44,21.68,22.78,21.71,25.13,25.02,26.44
