จำนวนนักท่องเที่ยวระหว่างประเทศของไทย ปี 2561P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of,Number 2019P,,,,,,,,,,,,,Number 2018,,,,,,,,,,,,,%CH (Y-o-Y),,,,,,,,,,,,,
Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Dec,
China," 1,069,787 "," 1,064,806 "," 985,232 "," 898,994 "," 794,913 "," 836,742 "," 983,752 "," 1,031,675 "," 852,130 "," 826,392 "," 798,913 "," 851,385 "," 10,994,721 ","969,996","1,198,971","1,004,025","986,703","869,206","900,652","929,808","867,750","647,711","646,583","675,143","838,693","10,535,241",+ 10.29,- 11.19,- 1.87,- 8.89,- 8.55,- 7.10,+ 5.80,+ 18.89,+ 31.56,+ 27.81,+ 18.33,+ 1.51,+ 4.36,
Hong Kong," 60,464 "," 80,543 "," 74,295 "," 88,945 "," 84,897 "," 102,546 "," 108,027 "," 121,806 "," 77,951 "," 74,740 "," 78,574 "," 92,410 "," 1,045,198 ","55,505","65,824","89,466","69,357","83,137","101,241","104,629","124,837","84,182","72,333","75,832","89,406","1,015,749",+ 8.93,+ 22.36,- 16.96,+ 28.24,+ 2.12,+ 1.29,+ 3.25,- 2.43,- 7.40,+ 3.33,+ 3.62,+ 3.36,+ 2.90,
Japan," 154,948 "," 161,839 "," 157,890 "," 149,597 "," 116,440 "," 123,665 "," 134,395 "," 198,399 "," 154,514 "," 136,174 "," 154,870 "," 163,609 "," 1,806,340 ","143,809","144,884","144,482","119,053","109,084","118,508","128,145","181,550","141,741","122,035","148,816","153,994","1,656,101",+ 7.75,+ 11.70,+ 9.28,+ 25.66,+ 6.74,+ 4.35,+ 4.88,+ 9.28,+ 9.01,+ 11.59,+ 4.07,+ 6.24,+ 9.07,
Korea," 208,158 "," 184,406 "," 144,524 "," 118,145 "," 111,911 "," 140,243 "," 166,107 "," 180,418 "," 145,528 "," 151,047 "," 155,728 "," 181,638 "," 1,887,853 ","197,620","159,983","143,644","115,859","122,680","141,555","153,524","164,137","135,484","132,018","154,562","175,360","1,796,426",+ 5.33,+ 15.27,+ 0.61,+ 1.97,- 8.78,- 0.93,+ 8.20,+ 9.92,+ 7.41,+ 14.41,+ 0.75,+ 3.58,+ 5.09,
Taiwan," 63,097 "," 72,006 "," 63,701 "," 65,691 "," 56,268 "," 69,845 "," 67,836 "," 71,930 "," 63,192 "," 67,357 "," 65,558 "," 63,442 "," 789,923 ","48,157","60,044","61,118","60,378","53,034","60,270","61,239","62,191","56,290","53,641","52,335","59,051","687,748",+ 31.02,+ 19.92,+ 4.23,+ 8.80,+ 6.10,+ 15.89,+ 10.77,+ 15.66,+ 12.26,+ 25.57,+ 25.27,+ 7.44,+ 14.86,
Others," 8,883 "," 7,850 "," 7,825 "," 8,291 "," 7,649 "," 8,599 "," 11,620 "," 14,834 "," 7,647 "," 6,221 "," 7,883 "," 12,007 "," 109,309 ","7,144","6,148","7,098","5,134","5,653","7,049","8,959","11,359","6,453","5,518","6,749","10,936","88,200",+ 24.34,+ 27.68,+ 10.24,+ 61.49,+ 35.31,+ 21.99,+ 29.70,+ 30.59,+ 18.50,+ 12.74,+ 16.80,+ 9.79,+ 23.93,
Europe," 886,324 "," 833,932 "," 719,535 "," 516,369 "," 284,395 "," 297,379 "," 439,204 "," 418,356 "," 302,745 "," 463,765 "," 683,560 "," 873,550 "," 6,719,114 ","898,351","828,433","766,505","507,919","303,105","295,289","447,198","433,389","305,808","458,853","668,698","846,783","6,760,331",- 1.34,+ 0.66,- 6.13,+ 1.66,- 6.17,+ 0.71,- 1.79,- 3.47,- 1.00,+ 1.07,+ 2.22,+ 3.16,- 0.61,
Austria," 15,855 "," 16,149 "," 10,708 "," 7,718 "," 4,082 "," 4,226 "," 8,144 "," 7,093 "," 5,129 "," 6,398 "," 10,702 "," 15,355 "," 111,559 ","16,727","16,369","12,273","7,851","4,539","3,974","9,028","7,639","5,049","7,175","10,777","15,255","116,656",- 5.21,- 1.34,- 12.75,- 1.69,- 10.07,+ 6.34,- 9.79,- 7.15,+ 1.58,- 10.83,- 0.70,+ 0.66,- 4.37,
Belgium," 10,694 "," 10,198 "," 10,132 "," 10,880 "," 4,983 "," 7,041 "," 14,701 "," 8,311 "," 6,592 "," 7,695 "," 11,015 "," 12,440 "," 114,682 ","11,328","10,305","10,124","9,650","4,884","6,213","14,620","9,001","6,415","7,797","11,273","12,660","114,270",- 5.60,- 1.04,+ 0.08,+ 12.75,+ 2.03,+ 13.33,+ 0.55,- 7.67,+ 2.76,- 1.31,- 2.29,- 1.74,+ 0.36,
Denmark," 29,848 "," 30,682 "," 17,431 "," 9,850 "," 4,719 "," 6,049 "," 12,865 "," 5,077 "," 5,246 "," 9,429 "," 12,114 "," 19,175 "," 162,485 ","30,211","30,175","21,627","8,226","5,546","6,092","14,219","5,451","5,480","9,488","13,276","19,582","169,373",- 1.20,+ 1.68,- 19.40,+ 19.74,- 14.91,- 0.71,- 9.52,- 6.86,- 4.27,- 0.62,- 8.75,- 2.08,- 4.07,
