จำนวนนักท่องเที่ยวระหว่างประเทศของไทย ปี 2561P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of,Number 2019P,,,,,,,,,,,,,Number 2018,,,,,,,,,,,,,%CH (Y-o-Y),,,,,,,,,,,,,
Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Dec,
Pakistan," 7,830 "," 5,813 "," 7,470 "," 6,206 "," 2,665 "," 7,379 "," 7,042 "," 6,013 "," 6,851 "," 7,055 "," 7,005 "," 8,476 "," 79,805 ","6,907","5,759","7,022","7,329","4,397","7,272","9,843","7,131","6,742","6,757","6,593","9,229","84,981",+ 13.36,+ 0.94,+ 6.38,- 15.32,- 39.39,+ 1.47,- 28.46,- 15.68,+ 1.62,+ 4.41,+ 6.25,- 8.16,- 6.09,
Sri  Lanka," 5,029 "," 5,601 "," 6,699 "," 8,328 "," 4,465 "," 4,512 "," 5,061 "," 6,809 "," 5,845 "," 4,932 "," 5,891 "," 7,871 "," 71,043 ","4,054","4,580","5,128","7,363","5,334","4,196","4,329","6,434","6,136","4,616","5,599","6,991","64,760",+ 24.05,+ 22.29,+ 30.64,+ 13.11,- 16.29,+ 7.53,+ 16.91,+ 5.83,- 4.74,+ 6.85,+ 5.22,+ 12.59,+ 9.70,
Others," 5,513 "," 3,287 "," 4,717 "," 4,090 "," 2,922 "," 5,099 "," 4,906 "," 4,574 "," 3,652 "," 3,557 "," 4,385 "," 7,271 "," 53,973 ","5,638","3,434","4,230","3,331","3,062","4,016","4,663","4,306","3,678","3,589","4,540","7,635","52,122",- 2.22,- 4.28,+ 11.51,+ 22.79,- 4.57,+ 26.97,+ 5.21,+ 6.22,- 0.71,- 0.89,- 3.41,- 4.77,+ 3.55,
Oceania," 80,041 "," 58,211 "," 63,089 "," 85,932 "," 68,638 "," 75,978 "," 85,963 "," 69,034 "," 75,706 "," 78,100 "," 66,257 "," 79,234 "," 886,183 ","81,227","58,204","73,232","83,339","66,665","76,498","92,429","71,981","79,620","82,361","72,582","83,839","921,977",- 1.46,+ 0.01,- 13.85,+ 3.11,+ 2.96,- 0.68,- 7.00,- 4.09,- 4.92,- 5.17,- 8.71,- 5.49,- 3.88,
Australia," 70,799 "," 51,483 "," 55,492 "," 75,202 "," 59,366 "," 64,918 "," 73,069 "," 58,530 "," 65,903 "," 67,857 "," 57,264 "," 68,785 "," 768,668 ","71,628","51,372","64,567","73,324","57,396","65,752","78,553","61,103","69,565","71,599","63,404","72,940","801,203",- 1.16,+ 0.22,- 14.06,+ 2.56,+ 3.43,- 1.27,- 6.98,- 4.21,- 5.26,- 5.23,- 9.68,- 5.70,- 4.06,
New  Zealand," 8,921 "," 6,424 "," 7,214 "," 10,350 "," 8,918 "," 10,685 "," 12,536 "," 10,148 "," 9,323 "," 9,834 "," 8,472 "," 9,976 "," 112,801 ","9,361","6,594","8,309","9,735","8,918","10,407","13,560","10,461","9,705","10,467","8,743","10,466","116,726",- 4.70,- 2.58,- 13.18,+ 6.32,+ 0.00,+ 2.67,- 7.55,- 2.99,- 3.94,- 6.05,- 3.10,- 4.68,- 3.36,
Others, 321 , 304 , 383 , 380 , 354 , 375 , 358 , 356 , 480 , 409 , 521 , 473 ," 4,714 ",238,238,356,280,351,339,316,417,350,295,435,433,"4,048",+ 34.87,+ 27.73,+ 7.58,+ 35.71,+ 0.85,+ 10.62,+ 13.29,- 14.63,+ 37.14,+ 38.64,+ 19.77,+ 9.24,+ 16.45,
Middle  East," 58,490 "," 44,536 "," 56,340 "," 57,174 "," 20,386 "," 61,478 "," 98,610 "," 91,074 "," 53,311 "," 57,486 "," 46,223 "," 57,451 "," 702,559 ","67,734","46,400","72,469","50,712","26,764","54,185","113,781","103,162","60,472","39,634","48,110","56,075","739,498",- 13.65,- 4.02,- 22.26,+ 12.74,- 23.83,+ 13.46,- 13.33,- 11.72,- 11.84,+ 45.04,- 3.92,+ 2.45,- 5.00,
Egypt," 2,007 "," 1,655 "," 1,998 "," 1,985 ", 620 ," 2,156 "," 2,247 "," 2,558 "," 1,979 "," 1,944 "," 2,203 "," 2,374 "," 23,726 ","2,226","1,567","1,826","2,093",945,"1,826","2,755","2,793","2,076","1,923","1,984","2,047","24,061",- 9.84,+ 5.62,+ 9.42,- 5.16,- 34.39,+ 18.07,- 18.44,- 8.41,- 4.67,+ 1.09,+ 11.04,+ 15.97,- 1.39,
Israel," 18,314 "," 17,359 "," 13,633 "," 20,656 "," 8,366 "," 8,615 "," 18,706 "," 19,191 "," 17,790 "," 23,315 "," 11,510 "," 18,437 "," 195,892 ","17,711","14,813","21,026","11,884","7,110","7,780","18,951","20,032","25,423","10,010","15,914","18,134","188,788",+ 3.40,+ 17.19,- 35.16,+ 73.81,+ 17.67,+ 10.73,- 1.29,- 4.20,- 30.02,+ 132.92,- 27.67,+ 1.67,+ 3.76,
Kuwait," 7,963 "," 4,547 "," 4,628 "," 4,826 "," 2,133 "," 9,926 "," 12,786 "," 13,078 "," 4,291 "," 4,596 "," 4,668 "," 4,757 "," 78,199 ","8,555","4,067","4,640","4,827","2,374","7,222","12,150","13,225","4,400","4,229","4,285","4,691","74,665",- 6.92,+ 11.80,- 0.26,- 0.02,- 10.15,+ 37.44,+ 5.23,- 1.11,- 2.48,+ 8.68,+ 8.94,+ 1.41,+ 4.73,
Saudi  Arabia," 1,795 "," 1,446 "," 2,018 "," 1,737 ", 529 ," 5,612 "," 5,149 "," 4,104 "," 2,149 "," 1,784 "," 1,702 "," 1,978 "," 30,003 ","2,353","1,283","1,735","1,957",687,"4,295","5,217","3,977","1,750","1,444","1,380","2,259","28,337",- 23.71,+ 12.70,+ 16.31,- 11.24,- 23.00,+ 30.66,- 1.30,+ 3.19,+ 22.80,+ 23.55,+ 23.33,- 12.44,+ 5.88,
U.A.E.," 7,965 "," 4,827 "," 10,253 "," 10,110 "," 1,728 "," 10,875 "," 25,072 "," 23,968 "," 8,113 "," 8,037 "," 8,336 "," 10,874 "," 130,158 ","6,637","4,651","11,778","8,303","3,346","8,174","26,417","24,911","8,656","6,831","7,457","11,109","128,270",+ 20.01,+ 3.78,- 12.95,+ 21.76,- 48.36,+ 33.04,- 5.09,- 3.79,- 6.27,+ 17.65,+ 11.79,- 2.12,+ 1.47,
Others," 20,446 "," 14,702 "," 23,810 "," 17,860 "," 7,010 "," 24,294 "," 34,650 "," 28,175 "," 18,989 "," 17,810 "," 17,804 "," 19,031 "," 244,581 ","30,252","20,019","31,464","21,648","12,302","24,888","48,291","38,224","18,167","15,197","17,090","17,835","295,377",- 32.41,- 26.56,- 24.33,- 17.50,- 43.02,- 2.39,- 28.25,- 26.29,+ 4.52,+ 17.19,+ 4.18,+ 6.71,- 17.20,
Africa," 12,831 "," 11,845 "," 16,579 "," 15,898 "," 12,822 "," 17,566 "," 15,640 "," 17,312 "," 17,933 "," 16,465 "," 15,294 "," 28,132 "," 198,317 ","13,679","10,713","16,265","18,670","13,203","15,719","18,100","17,497","17,711","17,035","15,932","26,956","201,480",- 6.20,+ 10.57,+ 1.93,- 14.85,- 2.89,+ 11.75,- 13.59,- 1.06,+ 1.25,- 3.35,- 4.00,+ 4.36,- 1.57,
S.Africa," 5,442 "," 4,427 "," 7,718 "," 7,946 "," 6,782 "," 9,833 "," 6,139 "," 6,192 "," 10,041 "," 8,389 "," 6,188 "," 17,352 "," 96,449 ","6,128","4,296","8,017","10,686","7,121","9,509","8,871","6,746","9,794","8,918","6,397","16,204","102,687",- 11.19,+ 3.05,- 3.73,- 25.64,- 4.76,+ 3.41,- 30.80,- 8.21,+ 2.52,- 5.93,- 3.27,+ 7.08,- 6.07,
Others," 7,389 "," 7,418 "," 8,861 "," 7,952 "," 6,040 "," 7,733 "," 9,501 "," 11,120 "," 7,892 "," 8,076 "," 9,106 "," 10,780 "," 101,868 ","7,551","6,417","8,248","7,984","6,082","6,210","9,229","10,751","7,917","8,117","9,535","10,752","98,793",- 2.15,+ 15.60,+ 7.43,- 0.40,- 0.69,+ 24.52,+ 2.95,+ 3.43,- 0.32,- 0.51,- 4.50,+ 0.26,+ 3.11,
Grand  Total," 3,718,504 "," 3,603,654 "," 3,473,088 "," 3,195,006 "," 2,726,808 "," 3,052,287 "," 3,327,198 "," 3,466,456 "," 2,902,731 "," 3,042,282 "," 3,358,592 "," 3,930,800 "," 39,797,406 ","3,531,483","3,552,119","3,494,645","3,096,067","2,737,834","3,013,304","3,177,088","3,229,031","2,636,115","2,704,002","3,170,996","3,835,510","38,178,194",+ 5.30,+ 1.45,- 0.62,+ 3.20,- 0.40,+ 1.29,+ 4.72,+ 7.35,+ 10.11,+ 12.51,+ 5.92,+ 2.48,+ 4.24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
